,,,,,,,,,,,,,,,
,Пробурено на сегодня:,,"3 536,3",,,,,,,,,,,,
,Суммарная плановая глубина на сегодня:,,,"3779,0",,,,,,,,,,,
,Разница плана и факта на сегодня:,,,"242,7",,,,,,,,,,,
,Сводка по выполнению бурения инженерно-геологических скважин,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Золотодобывающее предприятие на месторождении ""Сухой Лог""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,№ п/п,Тип буровой установки,Скв. №,Принадлежность к локальному проекту,Координаты (WGS 84),,"Глубина проектная, м","Глубина фактическая, м","Вскрытие скальных грунтов, м",Дата начала бурения,Дата окончания бурения,Термометрия,Количество отобранных проб,Геолог,Примечание
,,,,,Широта ,Долгота,,,,,,,,,
,1,2,3,,4,5,6,7,,8,9,10,11,12,13
,1,УРБ-2А2 (у727ат 96),P20-182,Промплощадка.Отвалы,58° 36.193',115° 12.571',10,"8,9","3,3",13.10.20,13.10.20,-,3,Копцев Я.Н.,закрыта согласно ТЗ (бурение 5 м по скале)
,2,УРБ-2А2 (у727ат 96),P20-191,Промплощадка.Отвалы,58° 36.100',115° 12.743',10,10,"2,2",14.10.20,14.10.20,-,4,Копцев Я.Н.,"Скальные грунты вскрыты на 2,2м"
,3,УРБ-2А2 (о614ае 797),P20-207,Промплощадка.Отвалы,58° 36.006',115° 12.916',10,10,"2,3",14.10.20,14.10.20,-,4,Титов Д.В.,"Скальные грунты вскрыты на 2,3м"
,4,УРБ-2А2 (о614ае 797),P20-151,Промплощадка.Отвалы,58° 35.647',115° 12.201',10,10,"6,4",15.10.20,15.10.20,-,3,Титов Д.В.,"Скальные грунты вскрыты на 6,4м"
,6,УРБ-2А2(ав 4157 38),P20-79,Промплощадка.Отвалы,58° 35.843',115° 10.805',15,10,"4,8",17.10.20,17.10.20,-,3,Сысолятин А.А.,закрыта согласно ТЗ (бурение 5 м по скале)
,7,УРБ-2А2(ав 4157 38),P20-83,Промплощадка.Отвалы,58° 36.209',115° 10.817',15,16,"10,7",17.10.20,18.10.20,-,4,"Сысолятин А.А., Титов Д.В.",закрыта согласно ТЗ (бурение 5 м по скале)
,5,УРБ-2А2 (у727ат 96),P20-107,Промплощадка.Отвалы,58° 35.765,115° 11.328',10,8,"2,7",17.10.20,19.10.20,-,2,Лебёдкин С.Н.,закрыта согласно ТЗ (бурение 5 м по скале)
,8,УРБ-2А2 (у727ат 96),P20-65,Промплощадка.Отвалы,58° 35.846',115° 10.454',15,10,"2,6",20.10.20,21.10.20,-,3,Лебёдкин С.Н.,закрыта согласно ТЗ (бурение 5 м по скале)
,9,УРБ-2А2(н474вм 138),P20-125,ВЛ 110,58° 35.743',115° 11.678',10,6,1,22.10.20,22.10.20,-,3,Титов Д.В.,закрыта согласно ТЗ (бурение 5 м по скале)
,12,УРБ-2А2 (у727ат 96),P20-159,Промплощадка.Отвалы,58° 36.379',115° 12.227',20,15,5,22.10.20,22.10.20,-,5,Лебёдкин С.Н.,закрыта согласно ТЗ (бурение 5 м по скале)
,10,УРБ-2А2(ав 4157 38),P20-91,Промплощадка.Отвалы,58° 35.933',115° 10.983',15,7,2,20.10.20,23.10.20,-,3,Титов Д.В.,закрыта согласно ТЗ (бурение 5 м по скале)
,17,УРБ-2А2 (у727ат 96),P20-137,Промплощадка.Отвалы,58° 36.448',115° 12.086',10,10,4,23.10.20,23.10.20,-,3,Лебёдкин С.Н.,закрыта согласно ТЗ (бурение 5 м по скале)
,11,ПБУ 2-318(в053хх 38),P20-221,Промплощадка.Отвалы,58° 35.927',115° 13.088',10,27,не вскрыты,21.10.20,24.10.20,-,8,Копцев Я.Н.,закрыта (согласована с заказчиком)
,13,УРБ-2А2(х034хх 38),P20-220/1,Промплощадка.Отвалы,58° 36.003',115° 13.266',10,"11,4","6,4",22.10.20,24.10.20,-,5,Фролов Э.А.,закрыта согласно ТЗ (бурение 5 м по скале)
,14,УРБ-2А2(х034хх 38),L110-2,ВЛ 110,58° 35.566',115° 14.162',10,10,"8,5",24.10.20,24.10.20,-,4,Фролов Э.А.,закрыта согласно ТЗ
,16,ПБУ 2-318(в053хх 38),L110-5,ВЛ 110,58° 35.668',115° 12.768',10,10,не вскрыты,24.10.20,24.10.20,-,3,Копцев Я.Н.,скважина закрыта согласно ТЗ
,15,УРБ-2А2(х034хх 38),L110-4,ВЛ 110,58° 35.617',115° 13.453',10,10,7,25.10.20,25.10.20,-,3,Фролов Э.А.,закрыта согласно ТЗ
,18,УРБ-2А2 (ав0014 38),L220-5,ВЛ 220,58° 35.580',115° 10.321',15,"4,3","2,3",25.10.20,25.10.20,-,2,Ребенок А.П.,закрыта согласно ТЗ (бурение 2 м по скале)
,19,УРБ-2А2 (ав0014 38),L220-54,ВЛ 220,58° 35.724',115° 10.064',15,4,2,25.10.20,25.10.20,-,3,Ребенок А.П.,закрыта согласно ТЗ (бурение 2 м по скале)
,20,УРБ-2А2(ав 4157 38),P20-89,Промплощадка.Отвалы,58° 36.116',115° 10.989',15,8,3,23.10.20,25.10.20,-,4,Титов Д.В.,закрыта согласно ТЗ (бурение 5 м по скале)
,21,УРБ-2А2(ав 4157 38),P20-95,Промплощадка.Отвалы,58° 36.023',115° 11.162',15,"9,8","4,8",25.10.20,25.10.20,-,5,Титов Д.В.,закрыта согласно ТЗ (бурение 5 м по скале)
,22,ПБУ 2-318(в053хх 38),P20-153,Промплощадка.Отвалы,58° 35.830',115° 12.208',10,20,не вскрыты,25.10.20,26.10.20,-,6,Копцев Я.Н.,"скальные грунты не вскрыты, скважина закрыта согласно договоренности с заказчиком"
,23,УРБ-2А2 (ав0014 38),L220-56,ВЛ 220,58° 35.475',115° 10.619',15,8,6,26.10.20,26.10.20,-,3,Ребенок А.П.,закрыта согласно ТЗ (бурение 2 м по скале)
,24,УРБ-2А2 (ав0014 38),L220-7,ВЛ 220,58° 35.454',115° 11.013',15,11,9,26.10.20,26.10.20,-,5,Ребенок А.П.,закрыта согласно ТЗ (бурение 2 м по скале)
,26,УРБ-2А2(ав 4157 38),P20-93,Промплощадка.Отвалы,58° 35.840',115° 11.155',15,"7,8","2,8",26.10.20,26.10.20,-,3,Титов Д.В.,закрыта согласно ТЗ (бурение 5 м по скале)
,25,ПБУ 2-318(в053хх 38),P20-193,Промплощадка.Отвалы,58° 35.916',115° 12.737',10,20,не вскрыты,27.10.20,27.10.20,-,6,Копцев Я.Н.,скважина закрыта согласно ТЗ
,27,УРБ-2А2(ав 4157 38),P20-103,Промплощадка.Отвалы,58° 36.113',115° 11.340',15,23,18,26.10.20,28.10.20,-,7,Титов Д.В.,закрыта согласно ТЗ (бурение 5 м по скале)
,29,УРБ-2А2 (ав0014 38),L220-9,ВЛ 220,58° 35.452',115° 11.838',15,4,"1,2",28.10.20,28.10.20,-,2,Ребенок А.П.,закрыта согласно ТЗ (бурение 2 м по скале)
,30,УРБ-2А2 (ав0014 38),L220-58,ВЛ 220,58° 35.473',115° 11.444',15,7,"4,5",28.10.20,28.10.20,-,2,Ребенок А.П.,закрыта согласно ТЗ (бурение 2 м по скале)
,28,ПБУ 2-318(в053хх 38),P20-180,Промплощадка.Отвалы,58° 36.010',115° 12.565',15,25,не вскрыты,28.10.20,29.10.20,-,7,Копцев Я.Н.,скважина закрыта согласно ТЗ
,31,УРБ-2А2 (ав0014 38),L220-11,ВЛ 220,58° 35.450',115° 12.663',15,6,3,29.10.20,29.10.20,-,4,Ребенок А.П.,закрыта согласно ТЗ (бурение 2 м по скале)
,32,УРБ-2А2 (ав0014 38),L220-60,ВЛ 220,58° 35.471',115° 12.270',15,7,3,29.10.20,29.10.20,-,3,Ребенок А.П.,закрыта согласно ТЗ (бурение 2 м по скале)
,33,УРБ-2А2 (ав0014 38),P20-199,Промплощадка.Отвалы,58° 35.367',115° 12.718',10,9,"2,8",30.10.20,30.10.20,-,4,Гаврилов М.С.,закрыта согласно ТЗ (бурение 5 м по скале)
,34,УРБ-2А2(х034хх 38),P20-211,Промплощадка.Отвалы,58° 36.373',115° 12.928',10,"13,5","8,5",30.10.20,30.10.20,-,6,Фролов Э.А.,закрыта согласно ТЗ (бурение 5 м по скале)
,35,УРБ-2А2(х034хх 38),P20-186,Промплощадка.Отвалы,58° 36.523',115° 12.802',15,14,9,29.10.20,30.10.20,-,5,Фролов Э.А.,закрыта согласно ТЗ (бурение 5 м по скале)
,36,ПБУ 2-318(в053хх 38),P20-242,Промплощадка.Отвалы,58° 36.757',115° 13.014',15,"14,2","9,2",30.10.20,30.10.20,-,4,Копцев Я.Н.,закрыта согласно ТЗ (бурение 5 м по скале)
,37,УРБ-2А2(ав 4157 38),P20-109,Промплощадка.Отвалы,58° 35.836',115° 11.506',15,16,11,29.10.20,30.10.20,-,6,Титов Д.В.,закрыта согласно ТЗ (бурение 5 м по скале)
,44,УРБ-2А2(ав 4157 38),P20-127,Промплощадка.Отвалы,58° 35.650',115° 11.851',10,"7,2","4,7",30.10.20,30.10.20,-,2,Титов Д.В.,с 5.8м прочные скальные грунты. Проходка 10см/2 часа
,38,УРБ-2А2 (ав0014 38),L220-62,ВЛ 220,58° 35.469',115° 13.095',15,"8,3","6,3",31.10.20,31.10.20,-,5,Гаврилов М.С.,закрыта согласно ТЗ (бурение 2 м по скале)
,39,УРБ-2А2(х034хх 38),P20-258,Промплощадка.Отвалы,58° 36.991',115° 13.226',15,13,8,31.10.20,31.10.20,-,4,Фролов Э.А.,закрыта согласно ТЗ (бурение 5 м по скале)
,40,ПБУ 2-318(в053хх 38),P20-131,Промплощадка.Отвалы,58° 36.016',115° 11.863',15,20,не вскрыты,31.10.20,31.10.20,-,5,Копцев Я.Н.,скважина закрыта согласно ТЗ
,41,УРБ-2А2(н474вм 138),P20-169,Промплощадка.Отвалы,58° 35.737',115° 12.380',10,25,5,30.10.20,31.10.20,-,10,Чуев С.С.,прочные скальные грунты не вскрыты
,43,УРБ-2А2(ав 4157 38),P20-129,Промплощадка.Отвалы,58° 35.833',115° 11.857',10,"10,8","5,8",31.10.20,31.10.20,-,3,Титов Д.В.,закрыта согласно ТЗ (бурение 5 м по скале)
,42,УРБ-2А2(н474вм 138),P20-178,Промплощадка.Отвалы,58° 35.827',115° 12.559',10,20,"5,7",01.11.20,01.11.20,-,9,Фролов Д.Л.,прочные скальные грунты не вскрыты
,45,ПБУ 2-318(в053хх 38),P20-121,Промплощадка.Отвалы,58° 36.109',115° 11.691',15,20,не вскрыты,02.11.20,02.11.20,-,7,Ребенок А.П.,скважина закрыта согласно ТЗ
,46,УРБ-2А2(ав 4157 38),P20-195,Промплощадка.Отвалы,58° 35.733',115° 12.731',10,20,не вскрыты,01.11.20,02.11.20,-,3,Титов Д.В.,скважина закрыта согласно ТЗ
,47,УРБ-2А2(н474вм 138),P20-167,Промплощадка.Отвалы,58° 35.920',115° 12.386',10,20,не вскрыты,02.11.20,02.11.20,-,7,Фролов Д.Л.,скважина закрыта согласно ТЗ
,48,УРБ-2А2 (ав0014 38),L220-13,ВЛ 220,58° 35.446',115° 13.389',15,15,не вскрыты,01.11.20,02.11.20,`+,10,Гаврилов М.С.,закрыта согласно ТЗ
,49,УРБ-2А2 (ав0014 38),L220-63,ВЛ 220,58° 35.468',115° 13.373',15,9,4,02.11.20,03.11.20,,4,Гаврилов М.С.,закрыта согласно ТЗ (бурение 2 м по скале)
,50,УРБ-2А2(н474вм 138),P20-143,Промплощадка.Отвалы,58° 35.914',115° 12.035',15,20,не вскрыты,02.11.20,03.11.20,-,7,Фролов Д.Л.,скважина закрыта согласно ТЗ
,60,УРБ-2А2(ав 4157 38),P20-123,Промплощадка.Отвалы,58° 35.926',115° 11.685',10,"12,3","8,8",03.11.20,03.11.20,-,3,Кузьмин И.С.,"Бурение 3,5 м по скале, с 11,0 проходка 10см/2 часа"
,61,УРБ-2А2(ав 4157 38),P20-223,Промплощадка.Отвалы,58° 35.730',115° 13.081',10,20,не вскрыты,02.11.20,03.11.20,-,4,Титов Д.В.,скважина закрыта согласно ТЗ
,51,УРБ-2А2 (ав0014 38),P20-197,Промплощадка.Отвалы,58° 35.550',115° 12.724',10,"16,5","11,3",03.11.20,04.11.20,-,6,Гаврилов М.С.,закрыта согласно ТЗ (бурение 5 м по скале)
,52,УРБ-2А2(ав 4157 38),P20-141,Промплощадка.Отвалы,58° 36.106',115° 12.042',15,20,не вскрыты,04.11.20,04.11.20,-,5,Кузьмин И.С.,скважина закрыта согласно ТЗ
,55,УРБ-2А2(н474вм 138),P20-97,Промплощадка.Отвалы,58° 36.206',115° 11.168',15,20,не вскрыты,03.11.20,04.11.20,-,8,Фролов Д.Л.,скважина закрыта согласно ТЗ
,53,ПБУ 2-318(в053хх 38),L110-6,ВЛ 110,58° 35.690',115° 12.398',10,10,не вскрыты,05.11.20,05.11.20,`+,3,Копцев Я.Н.,скважина закрыта согласно ТЗ
,54,УРБ-2А2(н474вм 138),P20-71,Промплощадка.Отвалы,58° 36.395',115° 10.472',18,20,не вскрыты,05.11.20,05.11.20,-,6,Фролов Д.Л.,скважина закрыта согласно ТЗ
,56,ПБУ 2-318(в053хх 38),L110-1,ВЛ 110,58° 35.525',115° 14.590',10,10,не вскрыты,06.11.20,06.11.20,`+,3,Фролов Э.А.,скважина закрыта согласно ТЗ
,57,ПБУ 2-318(в053хх 38),VIT-28,ВЛ 220,58° 36.018',115° 10.087',20,8,5,07.11.20,07.11.20,-,4,Ребенок А.П.,закрыта согласно ТЗ (бурение 3 м по скале)
,58,УРБ-2А2(н474вм 138),P20-26,Промплощадка.Отвалы,58° 36.135',115° 08.884',15,20,не вскрыты,07.11.20,07.11.20,-,8,Фролов Д.Л.,скважина закрыта согласно ТЗ
,59,УРБ-2А2 (ав0014 38),P20-145,ВЛ 110,58° 35.721',115° 12.029',10,20,19,06.11.20,07.11.20,-,7,Гаврилов М.С.,скважина закрыта согласно ТЗ
,63,УРБ-2А2(ав 4157 38),P20-1,Промплощадка.Отвалы,58° 36.047',115° 08.747',15,"11,2","6,2",07.11.20,07.11.20,-,3,Кузьмин И.С.,закрыта согласно ТЗ (бурение 5 м по скале)
,62,ПБУ 2-318(в053хх 38),VIT-22,ВЛ 220,58° 35.982',115° 10.068',15,10,7,08.11.20,08.11.20,-,4,Ребенок А.П.,закрыта согласно ТЗ (бурение 3 м по скале)
,64,УРБ-2А2(х034хх 38),VIT-34,ВЛ 220,58° 36.055',115° 10.106',20,10,7,07.11.20,09.11.20,-,3,Фролов Э.А.,закрыта согласно ТЗ (бурение 3 м по скале)
,65,УРБ-2А2(н699cн 777),VIT-40,ВЛ 220,58° 36.092',115° 10.126',20,20,"8,4",07.11.20,09.11.20,-,8,Чуев С.С.,скважина закрыта согласно ТЗ
,66,ПБУ 2-318(в053хх 38),L110-3,ВЛ 110,58° 35.591',115° 13.817',10,10,"6,3",09.11.20,09.11.20,`+,4,Ребенок А.П.,скважина закрыта согласно ТЗ
,67,УРБ-2А2(ав 4157 38),P20-85,Промплощадка.Отвалы,58° 36.376',115° 10.823',15,20,не вскрыты,05.11.20,09.11.20,-,4,Кузьмин И.С.,скважина закрыта согласно ТЗ
,68,УРБ-2А2(х034хх 38),VIT-16,ВЛ 220,58° 35.945',115° 10.049',15,5,2,10.11.20,10.11.20,-,2,Фролов Э.А.,закрыта согласно ТЗ (бурение 3 м по скале)
,69,УРБ-2А2 (ав0014 38),P20-105,Промплощадка.Отвалы,58° 35.930',115° 11.334',15,14,9,08.11.20,10.11.20,-,6,Гаврилов М.С.,закрыта согласно ТЗ (бурение 5 м по скале)
,70,УРБ-2А2(н474вм 138),P20-133,Промплощадка.Отвалы,58° 36.199',115° 11.870',10,23,"17,8",08.11.20,10.11.20,-,8,Фролов Д.Л.,закрыта согласно ТЗ (бурение 5 м по скале)
,73,ПБУ 2-318(в053хх 38),P20-224,ВЛ 110,58° 35.638',115° 13.078',10,10,4,11.11.20,11.11.20,`+,3,Ребенок А.П.,закрыта согласно ТЗ (бурение 5 м по скале)
,71,УРБ-2А2(н474вм 138),P20-87,Промплощадка.Отвалы,58° 36.299',115° 10.995',15,17,"11,6",11.11.20,12.11.20,-,6,Фролов Д.Л.,закрыта согласно ТЗ (бурение 5 м по скале)
,72,УРБ-2А2 (ав0014 38),P20-111,Промплощадка.Отвалы,58° 36.019',115° 11.512',15,18,13,11.11.20,13.11.20,-,4,Гаврилов М.С.,закрыта согласно ТЗ (бурение 5 м по скале)
,74,УРБ-2А2(х034хх 38),VIT-42,ВЛ 220,58° 36.075',115° 09.966',20,"9,5","6,5",11.11.20,11.11.20,-,3,Фролов Э.А.,закрыта согласно ТЗ (бурение 3 м по скале)
,75,УРБ-2А2(ав 4157 38),VIT-5,ВЛ 220,58° 35.928',115° 10.305',15,8,5,12.11.20,12.11.20,`+,3,Ребенок А.П.,закрыта согласно ТЗ (бурение 3 м по скале)
,76,УРБ-2А2(х034хх 38),VIT-32,ВЛ 220,58° 36.028',115° 10.017',20,8,5,12.11.20,12.11.20,-,4,Фролов Э.А.,закрыта согласно ТЗ (бурение 3 м по скале)
,77,ПБУ 2-318(в053хх 38),L220-64,ВЛ 220,58° 35.510',115° 13.460',15,10,7,12.11.20,12.11.20,-,4,Кузьмин И.С.,закрыта согласно ТЗ (бурение 2 м по скале)
,78,ПБУ 2-318(в053хх 38),L220-14,ВЛ 220,58° 35.494',115° 13.486',15,10,8,12.11.20,12.11.20,`+,4,Кузьмин И.С.,закрыта согласно ТЗ (бурение 2 м по скале)
,79,ПБУ 2-318(в053хх 38),VIT-17,ВЛ 220,58° 35.958',115° 10.094',15,8,3,13.11.20,13.11.20,`+,2,Кузьмин И.С.,закрыта согласно ТЗ (бурение 3 м по скале)
,80,УРБ-2А2(ав 4157 38),VIT-3,ВЛ 220,58° 35.902',115° 10.215',19,8,"2,2",13.11.20,13.11.20,`+,3,Ребенок А.П.,закрыта согласно ТЗ (бурение 3 м по скале)
,81,УРБ-2А2(ав 4157 38),VIT-4,ВЛ 220,58° 35.915',115° 10.260',15,6,2,13.11.20,13.11.20,-,3,Ребенок А.П.,закрыта согласно ТЗ (бурение 3 м по скале)
,82,УРБ-2А2(х034хх 38),VIT-36,ВЛ 220,58° 36.039',115° 09.946',20,"9,5","6,5",13.11.20,13.11.20,-,3,Фролов Э.А.,закрыта согласно ТЗ (бурение 3 м по скале)
,83,УРБ-2А2(н699cн 777),VIT-30,ВЛ 220,58° 36.045',115° 10.177',20,10,"6,7",13.11.20,13.11.20,-,4,Чуев С.С.,закрыта согласно ТЗ (бурение 3 м по скале)
